library,os_type,library_type,crypto_dependency,algorithm,primitive,key_size,detection_method
/usr/lib/x86_64-linux-gnu/NetworkManager/libnm-vpn-plugin-pptp.so,unix,shared,nettle,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/alsa-lib/libasound_module_ctl_pipewire.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/alsa-lib/libasound_module_pcm_pipewire.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/alsa-topology/libalsatplg_module_nhlt.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/ao/plugins-4/libalsa.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/ao/plugins-4/libnas.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/ao/plugins-4/liboss.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/ao/plugins-4/libpulse.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/ao/plugins-4/libsndio.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/audit/sotruss-lib.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/bfd-plugins/libdep.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/blas/libblas.so.3.12.0,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/bluetooth/plugins/sixaxis.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/caca/libgl_plugin.so.0.0.0,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/caca/libx11_plugin.so.0.0.0,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/cifs-utils/cifs_idmap_sss.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-plugins/libcolord_sensor_camera.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-plugins/libcolord_sensor_sane.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-plugins/libcolord_sensor_scanner.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_colorhug.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_dtp94.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_dummy.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/colord-sensors/libcolord_sensor_huey.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/cryptsetup/libcryptsetup-token-systemd-fido2.so,unix,shared,"libcrypto,libgcrypt",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/cryptsetup/libcryptsetup-token-systemd-pkcs11.so,unix,shared,"libcrypto,libgcrypt",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/cryptsetup/libcryptsetup-token-systemd-tpm2.so,unix,shared,"libcrypto,libgcrypt",unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/deja-dup/libdeja.so,unix,shared,libgcrypt,unknown,unknown,unknown,dependency-only
/usr/lib/x86_64-linux-gnu/dhcpcd/dev/udev.so,unix,shared,none,unknown,unknown,unknown,static-string
/usr/lib/x86_64-linux-gnu/dri/libdril_dri.so,unix,shared,none,unknown,unknown,unknown,static-string
