script_path,language,algorithm,primitive,function_pattern,key_size
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/pkcs12.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/pkcs12.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/pkcs12.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/pkcs12.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/serialization/pkcs12.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/types.py,py,ECC,public-key,ed25519,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
/home/jabba/Desktop/CBOM-scanning/venv/lib/python3.12/site-packages/cryptography/hazmat/primitives/asymmetric/ec.py,py,ECC,public-key,EllipticCurve,unknown
