path,file_type,algorithm,key_size,curve,rsa_modulus_fingerprint,rsa_exponent,signature_algorithm,signature_hash,subject,issuer,serial,not_before,not_after,fingerprint_sha1,fingerprint_sha256
/snap/core22/2292/etc/ssl/certs/ePKI_Root_Certification_Authority.pem,certificate,RSAPublicKey,4096,,9c83e7c57168a1f04c6629534f15a044,65537,sha1WithRSAEncryption,sha1,"OU=ePKI Root Certification Authority,O=Chunghwa Telecom Co.\, Ltd.,C=TW","OU=ePKI Root Certification Authority,O=Chunghwa Telecom Co.\, Ltd.,C=TW",0x15c8bd65475cafb897005ee406d2bc9d,2004-12-19T18:31:27+00:00,2034-12-19T18:31:27+00:00,67650df17e8e7e5b8240a4f4564bcfe23d69c6f0,c0a6f4dc63a24bfdcf54ef2a6a082a0a72de35803e2ff5ff527ae5d87206dfd5
/snap/core22/2292/etc/ssl/certs/emSign_ECC_Root_CA_-_C3.pem,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=emSign ECC Root CA - C3,O=eMudhra Inc,OU=emSign PKI,C=US","CN=emSign ECC Root CA - C3,O=eMudhra Inc,OU=emSign PKI,C=US",0x7b71b68256b8127c9ca8,2018-02-18T10:30:00+00:00,2043-02-18T10:30:00+00:00,b6af43c29b81537df6ef6bc31f1f60150cee4866,bc4d809b15189d78db3e1d8cf4f9726a795da1643ca5f1358e1ddb0edc0d7eb3
/snap/core22/2292/etc/ssl/certs/emSign_ECC_Root_CA_-_G3.pem,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=emSign ECC Root CA - G3,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN","CN=emSign ECC Root CA - G3,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN",0x3cf607a968700eda8b84,2018-02-18T10:30:00+00:00,2043-02-18T10:30:00+00:00,3043fa4ff257dca0c380ee2e58ea78b23fe6bbc1,86a1ecba089c4a8d3bbe2734c612ba341d813e043cf9e8a862cd5c57a36bbe6b
/snap/core22/2292/etc/ssl/certs/emSign_Root_CA_-_C1.pem,certificate,RSAPublicKey,2048,,682bed7a06df0b4afa1bd2f0aa8ce15f,65537,sha256WithRSAEncryption,sha256,"CN=emSign Root CA - C1,O=eMudhra Inc,OU=emSign PKI,C=US","CN=emSign Root CA - C1,O=eMudhra Inc,OU=emSign PKI,C=US",0xaecf00bac4cf32f843b2,2018-02-18T10:30:00+00:00,2043-02-18T10:30:00+00:00,e72ef1dffcb20928cf5dd4d56737b151cb864f01,125609aa301da0a249b97a8239cb6a34216f44dcac9f3954b14292f2e8c8608f
/snap/core22/2292/etc/ssl/certs/emSign_Root_CA_-_G1.pem,certificate,RSAPublicKey,2048,,77dbee8e41065ac89bda06ae87744e27,65537,sha256WithRSAEncryption,sha256,"CN=emSign Root CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN","CN=emSign Root CA - G1,O=eMudhra Technologies Limited,OU=emSign PKI,C=IN",0x31f5e4620c6c58edd6d8,2018-02-18T10:30:00+00:00,2043-02-18T10:30:00+00:00,8ac7ad8f73ac4ec1b5754da540f4fccf7cb58e8c,40f6af0346a99aa1cd1d555a4e9cce62c7f9634603ee406615833dc8c8d00367
/snap/core22/2292/etc/ssl/certs/vTrus_ECC_Root_CA.pem,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=vTrus ECC Root CA,O=iTrusChina Co.\,Ltd.,C=CN","CN=vTrus ECC Root CA,O=iTrusChina Co.\,Ltd.,C=CN",0x6e6abc59aa53be983967a2d26ba43be66d1cd6da,2018-07-30T23:26:44+00:00,2043-07-30T23:26:44+00:00,f69cdbb0fcf60213b65232a6a3913f1670dac3e1,30fbba2c32238e2a98547af97931e550428b9b3f1c8eeb6633dcfa86c5b27dd3
/snap/core22/2292/etc/ssl/certs/vTrus_Root_CA.pem,certificate,RSAPublicKey,4096,,b7a1ff1d55d0f4fbf762169b18c8d60b,65537,sha256WithRSAEncryption,sha256,"CN=vTrus Root CA,O=iTrusChina Co.\,Ltd.,C=CN","CN=vTrus Root CA,O=iTrusChina Co.\,Ltd.,C=CN",0x43e37113d8b359145db7ce8cfd35fd6fbc058d45,2018-07-30T23:24:05+00:00,2043-07-30T23:24:05+00:00,841a69fbf5cd1a2534133de3f8fcb899d0c914b7,8a71de6559336f426c26e53880d00d88a18da4c6a91f0dcb6194e206c5c96387
/snap/core22/2292/usr/lib/python3/dist-packages/certifi/cacert.pem,certificate,RSAPublicKey,2048,,76c76391e95dc57cbdd23d7d3ffbe14f,65537,sha1WithRSAEncryption,sha1,"CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE","CN=GlobalSign Root CA,OU=Root CA,O=GlobalSign nv-sa,C=BE",0x40000000001154b5ac394,1998-09-01T04:00:00+00:00,2028-01-28T04:00:00+00:00,b1bc968bd4f49d622aa89a81f2150152a41d829c,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99
/snap/core22/2292/usr/share/ca-certificates/mozilla/ACCVRAIZ1.crt,certificate,RSAPublicKey,4096,,cbb6a9e8e98bf96035a7a102d6d8bd4a,65537,sha1WithRSAEncryption,sha1,"C=ES,O=ACCV,OU=PKIACCV,CN=ACCVRAIZ1","C=ES,O=ACCV,OU=PKIACCV,CN=ACCVRAIZ1",0x5ec3b7a6437fa4e0,2011-05-05T01:37:37+00:00,2030-12-31T01:37:37+00:00,93057a8815c64fce882ffa9116522878bc536417,9a6ec012e1a7da9dbe34194d478ad7c0db1822fb071df12981496ed104384113
/snap/core22/2292/usr/share/ca-certificates/mozilla/AC_RAIZ_FNMT-RCM.crt,certificate,RSAPublicKey,4096,,6870a920fd115a8de08fcfca1f48d3c7,65537,sha256WithRSAEncryption,sha256,"OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES","OU=AC RAIZ FNMT-RCM,O=FNMT-RCM,C=ES",0x5d938d306736c8061d1ac754846907,2008-10-29T07:59:56+00:00,2029-12-31T16:00:00+00:00,ec503507b215c4956219e2a89a5b42992c4c2c20,ebc5570c29018c4d67b1aa127baf12f703b4611ebc17b7dab5573894179b93fa
/snap/core22/2292/usr/share/ca-certificates/mozilla/AC_RAIZ_FNMT-RCM_SERVIDORES_SEGUROS.crt,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=AC RAIZ FNMT-RCM SERVIDORES SEGUROS,2.5.4.97=VATES-Q2826004J,OU=Ceres,O=FNMT-RCM,C=ES","CN=AC RAIZ FNMT-RCM SERVIDORES SEGUROS,2.5.4.97=VATES-Q2826004J,OU=Ceres,O=FNMT-RCM,C=ES",0x62f6326ce5c4e3685c1b62dd9c2e9d95,2018-12-20T01:37:33+00:00,2043-12-20T01:37:33+00:00,62ffd99ec0650d03ce7593d2ed3f2d32c9e3e54a,554153b13d2cf9ddb753bfbe1a4e0ae08d0aa4187058fe60a2b862b2e4b87bcb
/snap/core22/2292/usr/share/ca-certificates/mozilla/ANF_Secure_Server_Root_CA.crt,certificate,RSAPublicKey,4096,,6614060037b4b28ce4a8bd722ad6a5ae,65537,sha256WithRSAEncryption,sha256,"CN=ANF Secure Server Root CA,OU=ANF CA Raiz,O=ANF Autoridad de Certificacion,C=ES,2.5.4.5=G63287510","CN=ANF Secure Server Root CA,OU=ANF CA Raiz,O=ANF Autoridad de Certificacion,C=ES,2.5.4.5=G63287510",0xdd3e3bc6cf96bb1,2019-09-04T02:00:38+00:00,2039-08-30T02:00:38+00:00,5b6e68d0cc15b6a05f1ec15fae02fc6b2f5d6f74,fb8fec759169b9106b1e511644c618c51304373f6c0643088d8beffd1b997599
/snap/core22/2292/usr/share/ca-certificates/mozilla/Actalis_Authentication_Root_CA.crt,certificate,RSAPublicKey,4096,,b6518eb1f72bf57a9e02835f96937c76,65537,sha256WithRSAEncryption,sha256,"CN=Actalis Authentication Root CA,O=Actalis S.p.A./03358520967,L=Milan,C=IT","CN=Actalis Authentication Root CA,O=Actalis S.p.A./03358520967,L=Milan,C=IT",0x570a119742c4e3cc,2011-09-22T03:22:02+00:00,2030-09-22T03:22:02+00:00,f373b387065a28848af2f34ace192bddc78e9cac,55926084ec963a64b96e2abe01ce0ba86a64fbfebcc7aab5afc155b37fd76066
/snap/core22/2292/usr/share/ca-certificates/mozilla/AffirmTrust_Commercial.crt,certificate,RSAPublicKey,2048,,e59ec2307766fdd8d9e22bb4cd52f7ed,65537,sha256WithRSAEncryption,sha256,"CN=AffirmTrust Commercial,O=AffirmTrust,C=US","CN=AffirmTrust Commercial,O=AffirmTrust,C=US",0x7777062726a9b17c,2010-01-29T06:06:06+00:00,2030-12-31T06:06:06+00:00,f9b5b632455f9cbeec575f80dce96e2cc7b278b7,0376ab1d54c5f9803ce4b2e201a0ee7eef7b57b636e8a93c9b8d4860c96f5fa7
/snap/core22/2292/usr/share/ca-certificates/mozilla/AffirmTrust_Networking.crt,certificate,RSAPublicKey,2048,,b74b9564bc392fb07b83652f71ce3c9b,65537,sha1WithRSAEncryption,sha1,"CN=AffirmTrust Networking,O=AffirmTrust,C=US","CN=AffirmTrust Networking,O=AffirmTrust,C=US",0x7c4f04391cd4992d,2010-01-29T06:08:24+00:00,2030-12-31T06:08:24+00:00,293621028b20ed02f566c532d1d6ed909f45002f,0a81ec5a929777f145904af38d5d509f66b5e2c58fcdb531058b0e17f3f0b41b
/snap/core22/2292/usr/share/ca-certificates/mozilla/AffirmTrust_Premium.crt,certificate,RSAPublicKey,4096,,0e0ae5ed51aad0b469a8faafa39917f9,65537,sha384WithRSAEncryption,sha384,"CN=AffirmTrust Premium,O=AffirmTrust,C=US","CN=AffirmTrust Premium,O=AffirmTrust,C=US",0x6d8c1446b1a60aee,2010-01-29T06:10:36+00:00,2040-12-31T06:10:36+00:00,d8a6332ce0036fb185f6634f7d6a066526322827,70a73f7f376b60074248904534b11482d5bf0e698ecc498df52577ebf2e93b9a
/snap/core22/2292/usr/share/ca-certificates/mozilla/AffirmTrust_Premium_ECC.crt,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=AffirmTrust Premium ECC,O=AffirmTrust,C=US","CN=AffirmTrust Premium ECC,O=AffirmTrust,C=US",0x7497258ac73f7a54,2010-01-29T06:20:24+00:00,2040-12-31T06:20:24+00:00,b8236b002f1d16865301556c11a437caebffc3bb,bd71fdf6da97e4cf62d1647add2581b07d79adf8397eb4ecba9c5e8488821423
/snap/core22/2292/usr/share/ca-certificates/mozilla/Amazon_Root_CA_1.crt,certificate,RSAPublicKey,2048,,faff5cb2076979bb1b11439c4509ab41,65537,sha256WithRSAEncryption,sha256,"CN=Amazon Root CA 1,O=Amazon,C=US","CN=Amazon Root CA 1,O=Amazon,C=US",0x66c9fcf99bf8c0a39e2f0788a43e696365bca,2015-05-25T16:00:00+00:00,2038-01-16T16:00:00+00:00,8da7f965ec5efc37910f1c6e59fdc1cc6a6ede16,8ecde6884f3d87b1125ba31ac3fcb13d7016de7f57cc904fe1cb97c6ae98196e
/snap/core22/2292/usr/share/ca-certificates/mozilla/Amazon_Root_CA_2.crt,certificate,RSAPublicKey,4096,,17bc4c064ceb64230f322881dd82857c,65537,sha384WithRSAEncryption,sha384,"CN=Amazon Root CA 2,O=Amazon,C=US","CN=Amazon Root CA 2,O=Amazon,C=US",0x66c9fd29635869f0a0fe58678f85b26bb8a37,2015-05-25T16:00:00+00:00,2040-05-25T16:00:00+00:00,5a8cef45d7a69859767a8c8b4496b578cf474b1a,1ba5b2aa8c65401a82960118f80bec4f62304d83cec4713a19c39c011ea46db4
/snap/core22/2292/usr/share/ca-certificates/mozilla/Amazon_Root_CA_3.crt,certificate,ECPublicKey,256,secp256r1,,,ecdsa-with-SHA256,sha256,"CN=Amazon Root CA 3,O=Amazon,C=US","CN=Amazon Root CA 3,O=Amazon,C=US",0x66c9fd5749736663f3b0b9ad9e89e7603f24a,2015-05-25T16:00:00+00:00,2040-05-25T16:00:00+00:00,0d44dd8c3c8c1a1a58756481e90f2e2affb3d26e,18ce6cfe7bf14e60b2e347b8dfe868cb31d02ebb3ada271569f50343b46db3a4
/snap/core22/2292/usr/share/ca-certificates/mozilla/Amazon_Root_CA_4.crt,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=Amazon Root CA 4,O=Amazon,C=US","CN=Amazon Root CA 4,O=Amazon,C=US",0x66c9fd7c1bb104c2943e5717b7b2cc81ac10e,2015-05-25T16:00:00+00:00,2040-05-25T16:00:00+00:00,f6108407d6f8bb67980cc2e244c2ebae1cef63be,e35d28419ed02025cfa69038cd623962458da5c695fbdea3c22b0bfb25897092
/snap/core22/2292/usr/share/ca-certificates/mozilla/Atos_TrustedRoot_2011.crt,certificate,RSAPublicKey,2048,,02b93b7880c6962b17e7609a7b6e16dd,65537,sha256WithRSAEncryption,sha256,"C=DE,O=Atos,CN=Atos TrustedRoot 2011","C=DE,O=Atos,CN=Atos TrustedRoot 2011",0x5c33cb622c5fb332,2011-07-07T06:58:30+00:00,2030-12-31T15:59:59+00:00,2bb1f53e550c1dc5f1d4e6b76a464b550602ac21,f356bea244b7a91eb35d53ca9ad7864ace018e2d35d5f8f96ddf68a6f41aa474
/snap/core22/2292/usr/share/ca-certificates/mozilla/Atos_TrustedRoot_Root_CA_ECC_TLS_2021.crt,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"C=DE,O=Atos,CN=Atos TrustedRoot Root CA ECC TLS 2021","C=DE,O=Atos,CN=Atos TrustedRoot Root CA ECC TLS 2021",0x3d983ba6663d9063f77e26573804ef00,2021-04-22T01:26:23+00:00,2041-04-17T01:26:22+00:00,9ebc751042b302f381f4f73062d48fc3a751b2dd,b2fae53e14ccd7ab9212064701ae279c1d8988facb775fa8a008914e663988a8
/snap/core22/2292/usr/share/ca-certificates/mozilla/Atos_TrustedRoot_Root_CA_RSA_TLS_2021.crt,certificate,RSAPublicKey,4096,,85e24a10d9e0a3674fd8520c258ef25c,65537,sha384WithRSAEncryption,sha384,"C=DE,O=Atos,CN=Atos TrustedRoot Root CA RSA TLS 2021","C=DE,O=Atos,CN=Atos TrustedRoot Root CA RSA TLS 2021",0x53d5cfe619930bfb2b0512d8c22aa2a4,2021-04-22T01:21:10+00:00,2041-04-17T01:21:09+00:00,18523b0d0637e4d63adf23e498fb5b16fb867448,81a9088ea59fb364c548a6f85559099b6f0405efbf18e5324ec9f457ba00112f
/snap/core22/2292/usr/share/ca-certificates/mozilla/Autoridad_de_Certificacion_Firmaprofesional_CIF_A62634068.crt,certificate,RSAPublicKey,4096,,67644dc319d93880fa8ebd3d5d855357,65537,sha256WithRSAEncryption,sha256,"CN=Autoridad de Certificacion Firmaprofesional CIF A62634068,C=ES","CN=Autoridad de Certificacion Firmaprofesional CIF A62634068,C=ES",0x1b70e9d2ffae6c71,2014-09-23T07:22:07+00:00,2036-05-05T07:22:07+00:00,0bbec2272249cb39aadb355c53e38cae78ffb6fe,57de0583efd2b26e0361da99da9df4648def7ee8441c3b728afa9bcde0f9b26a
/snap/core22/2292/usr/share/ca-certificates/mozilla/BJCA_Global_Root_CA1.crt,certificate,RSAPublicKey,4096,,8bdecd3a5e1c1f93af2695c48747f3b5,65537,sha256WithRSAEncryption,sha256,"CN=BJCA Global Root CA1,O=BEIJING CERTIFICATE AUTHORITY,C=CN","CN=BJCA Global Root CA1,O=BEIJING CERTIFICATE AUTHORITY,C=CN",0x556f65e3b4d9906a1b09d16c3ec06c20,2019-12-18T19:16:17+00:00,2044-12-11T19:16:17+00:00,d5ec8d7b4cba79f4e7e8cb9d6bae77831003216a,f3896f88fe7c0a882766a7fa6ad2749fb57a7f3e98fb769c1fa7b09c2c44d5ae
/snap/core22/2292/usr/share/ca-certificates/mozilla/BJCA_Global_Root_CA2.crt,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=BJCA Global Root CA2,O=BEIJING CERTIFICATE AUTHORITY,C=CN","CN=BJCA Global Root CA2,O=BEIJING CERTIFICATE AUTHORITY,C=CN",0x2c17087d642ac0fe85185906cfb44aeb,2019-12-18T19:18:21+00:00,2044-12-11T19:18:21+00:00,f42786eb6eb86d88316702fbba66a45300aa7aa6,574df6931e278039667b720afdc1600fc27eb66dd3092979fb73856487212882
/snap/core22/2292/usr/share/ca-certificates/mozilla/Baltimore_CyberTrust_Root.crt,certificate,RSAPublicKey,2048,,b453f056bca44ffe88930518fbb639c7,65537,sha1WithRSAEncryption,sha1,"CN=Baltimore CyberTrust Root,OU=CyberTrust,O=Baltimore,C=IE","CN=Baltimore CyberTrust Root,OU=CyberTrust,O=Baltimore,C=IE",0x20000b9,2000-05-12T10:46:00+00:00,2025-05-12T15:59:00+00:00,d4de20d05e66fc53fe1a50882c78db2852cae474,16af57a9f676b0ab126095aa5ebadef22ab31119d644ac95cd4b93dbf3f26aeb
/snap/core22/2292/usr/share/ca-certificates/mozilla/Buypass_Class_2_Root_CA.crt,certificate,RSAPublicKey,4096,,483b2fdcf2acda28b5e4826074941fc8,65537,sha256WithRSAEncryption,sha256,"CN=Buypass Class 2 Root CA,O=Buypass AS-983163327,C=NO","CN=Buypass Class 2 Root CA,O=Buypass AS-983163327,C=NO",0x2,2010-10-26T00:38:03+00:00,2040-10-26T00:38:03+00:00,490a7574de870a47fe58eef6c76bebc60b124099,9a114025197c5bb95d94e63d55cd43790847b646b23cdf11ada4a00eff15fb48
/snap/core22/2292/usr/share/ca-certificates/mozilla/Buypass_Class_3_Root_CA.crt,certificate,RSAPublicKey,4096,,89fd8cd4f9ca0359dab313488d8f3529,65537,sha256WithRSAEncryption,sha256,"CN=Buypass Class 3 Root CA,O=Buypass AS-983163327,C=NO","CN=Buypass Class 3 Root CA,O=Buypass AS-983163327,C=NO",0x2,2010-10-26T00:28:58+00:00,2040-10-26T00:28:58+00:00,dafaf7fa6684ec068f1450bdc7c281a5bca96457,edf7ebbca27a2a384d387b7d4010c666e2edb4843e4c29b4ae1d5b9332e6b24d
/snap/core22/2292/usr/share/ca-certificates/mozilla/CA_Disig_Root_R2.crt,certificate,RSAPublicKey,4096,,5400002119b375f90adaa2d503fb28ae,65537,sha256WithRSAEncryption,sha256,"CN=CA Disig Root R2,O=Disig a.s.,L=Bratislava,C=SK","CN=CA Disig Root R2,O=Disig a.s.,L=Bratislava,C=SK",0x92b888dbb08ac163,2012-07-19T01:15:30+00:00,2042-07-19T01:15:30+00:00,b561ebeaa4dee4254b691a98a55747c234c7d971,e23d4a036d7b70e9f595b1422079d2b91edfbb1fb651a0633eaa8a9dc5f80703
/snap/core22/2292/usr/share/ca-certificates/mozilla/CFCA_EV_ROOT.crt,certificate,RSAPublicKey,4096,,c513be076f320792b630be224a8f7c15,65537,sha256WithRSAEncryption,sha256,"CN=CFCA EV ROOT,O=China Financial Certification Authority,C=CN","CN=CFCA EV ROOT,O=China Financial Certification Authority,C=CN",0x184accd6,2012-08-07T19:07:01+00:00,2029-12-30T19:07:01+00:00,e2b8294b5584ab6b58c290466cac3fb8398f8483,5cc3d78e4e1d5e45547a04e6873e64f90cf9536d1ccc2ef800f355c4c5fd70fd
/snap/core22/2292/usr/share/ca-certificates/mozilla/COMODO_Certification_Authority.crt,certificate,RSAPublicKey,2048,,00366246676da6a6c4ed2e804016f1a3,65537,sha1WithRSAEncryption,sha1,"CN=COMODO Certification Authority,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=COMODO Certification Authority,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB",0x4e812d8a8265e00b02ee3e350246e53d,2006-11-30T16:00:00+00:00,2029-12-31T15:59:59+00:00,6631bf9ef74f9eb6c9d5a60cba6abed1f7bdef7b,0c2cd63df7806fa399ede809116b575bf87989f06518f9808c860503178baf66
/snap/core22/2292/usr/share/ca-certificates/mozilla/COMODO_ECC_Certification_Authority.crt,certificate,ECPublicKey,384,secp384r1,,,ecdsa-with-SHA384,sha384,"CN=COMODO ECC Certification Authority,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB","CN=COMODO ECC Certification Authority,O=COMODO CA Limited,L=Salford,ST=Greater Manchester,C=GB",0x1f47afaa62007050544c019e9b63992a,2008-03-05T16:00:00+00:00,2038-01-18T15:59:59+00:00,9f744e9f2b4dbaec0f312c50b6563b8e2d93c311,1793927a0614549789adce2f8f34f7f0b66d0f3ae3a3b84d21ec15dbba4fadc7
