binary,os_type,language,modules/libraries,third party libraries,primitive,algorithm,crypto_library,key_length,parameters
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],digital-signature,ECDSA,libgcrypt,unknown,curve=P-256
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],key-derivation,PBKDF2,libgcrypt,unknown,none
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],key-derivation,PBES2,libgcrypt,unknown,none
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],key-derivation,HKDF,libgcrypt,unknown,none
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],tls,TLS,libgcrypt,unknown,version=1.1
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],ssl,SSL,libgcrypt,unknown,version=2.0
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],ipsec,IPSec,libgcrypt,unknown,none
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],ssh,SSH,libgcrypt,unknown,version=2.0
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],block-cipher,IDEA,libgcrypt,unknown,none
/usr/bin/gnome-keyring-daemon,unix,C,"['/lib/x86_64-linux-gnu/libgcr-base-3.so.1', '/lib/x86_64-linux-gnu/libgck-1.so.0', '/lib/x86_64-linux-gnu/libgio-2.0.so.0', '/lib/x86_64-linux-gnu/libgobject-2.0.so.0', '/lib/x86_64-linux-gnu/libglib-2.0.so.0', '/lib/x86_64-linux-gnu/libgcrypt.so.20', '/lib/x86_64-linux-gnu/libsystemd.so.0', '/lib/x86_64-linux-gnu/libc.so.6', '/lib/x86_64-linux-gnu/libp11-kit.so.0', '/lib/x86_64-linux-gnu/libgmodule-2.0.so.0', '/lib/x86_64-linux-gnu/libz.so.1', '/lib/x86_64-linux-gnu/libmount.so.1', '/lib/x86_64-linux-gnu/libselinux.so.1', '/lib/x86_64-linux-gnu/libffi.so.8', '/lib/x86_64-linux-gnu/libm.so.6', '/lib/x86_64-linux-gnu/libpcre2-8.so.0', '/lib/x86_64-linux-gnu/libgpg-error.so.0', '/lib/x86_64-linux-gnu/libcap.so.2', '/lib/x86_64-linux-gnu/liblz4.so.1', '/lib/x86_64-linux-gnu/liblzma.so.5', '/lib/x86_64-linux-gnu/libzstd.so.1', '/lib/x86_64-linux-gnu/libblkid.so.1']",[],block-cipher,SEED,libgcrypt,unknown,none
